State,Month,Victim Sex,Victim Race,Victim Count,Target_Solved,Decade,Victim Age Group,Weapon Grouped,Agency Grouped,Relationship Grouped,Cluster_ID,Solve_Probability,Cold_Case_Risk_Score,Predicted_Solved,SHAP_Feature_1,SHAP_Feature_2,SHAP_Feature_3,SHAP_Feature_4,SHAP_Feature_5
North Carolina,August,Male,White,0,1,1990s,Adult,Firearm,Municipal,Known,-1,0.9449164592115054,5.50835407884947,1,Relationship Grouped_Unknown,Relationship Grouped_Known,State_North Carolina,Relationship Grouped_Intimate Partner,State_California
California,June,Male,White,0,1,2010s,Senior,Blunt Object,Sheriff,Stranger,-1,0.8110032257503798,18.89967742496202,1,Relationship Grouped_Unknown,Decade_2010s,Relationship Grouped_Stranger,State_California,Relationship Grouped_Known
Maryland,March,Male,Black,0,1,1980s,Young Adult,Firearm,Municipal,Known,-1,0.8882057428029427,11.17942571970573,1,Relationship Grouped_Unknown,Relationship Grouped_Known,State_Maryland,Relationship Grouped_Intimate Partner,Victim Race_White
Louisiana,February,Male,Black,0,0,2000s,Young Adult,Firearm,Municipal,Unknown,4,0.1928746837909635,80.71253162090365,0,Relationship Grouped_Unknown,Relationship Grouped_Known,Relationship Grouped_Stranger,Relationship Grouped_Intimate Partner,Decade_2000s
Florida,May,Female,White,0,0,1990s,Adult,Unknown,Sheriff,Unknown,0,0.22273544657043554,77.72645534295644,0,Relationship Grouped_Unknown,State_Florida,Relationship Grouped_Known,Weapon Grouped_Unknown,Relationship Grouped_Intimate Partner
Arizona,August,Male,White,0,1,1980s,Adult,Firearm,Sheriff,Known,-1,0.9499828162976002,5.001718370239983,1,Relationship Grouped_Unknown,Relationship Grouped_Known,Agency Grouped_Sheriff,Agency Grouped_Municipal,Relationship Grouped_Intimate Partner
Georgia,September,Male,Black,0,0,2000s,Young Adult,Firearm,Municipal,Unknown,4,0.1674982747764473,83.25017252235527,0,Relationship Grouped_Unknown,Relationship Grouped_Known,Relationship Grouped_Stranger,Relationship Grouped_Intimate Partner,State_Georgia
Florida,May,Male,Black,0,1,2000s,Adult,Firearm,Municipal,Unknown,-1,0.30961579997533983,69.03842000246601,0,Relationship Grouped_Unknown,State_Florida,Relationship Grouped_Known,Relationship Grouped_Stranger,Decade_2000s
New York,May,Male,White,0,1,1990s,Young Adult,Knife,Municipal,Known,-1,0.9565665029373913,4.343349706260874,1,Relationship Grouped_Unknown,Relationship Grouped_Known,State_New York,Weapon Grouped_Knife,Decade_1990s
Pennsylvania,December,Female,White,0,1,1990s,Adult,Firearm,State,Intimate Partner,-1,0.9711262319589993,2.887376804100076,1,Relationship Grouped_Unknown,Relationship Grouped_Intimate Partner,Relationship Grouped_Known,Agency Grouped_State,Victim Sex_Male
South Carolina,October,Male,White,0,1,1990s,Young Adult,Firearm,Municipal,Stranger,-1,0.894269971441744,10.573002855825594,1,Relationship Grouped_Unknown,State_South Carolina,Relationship Grouped_Stranger,Relationship Grouped_Known,State_California
North Carolina,February,Unknown,Unknown,0,0,2000s,Senior,Unknown,Sheriff,Unknown,1,0.17134619513648763,82.86538048635124,0,Relationship Grouped_Unknown,Relationship Grouped_Known,Weapon Grouped_Unknown,Decade_2000s,Relationship Grouped_Stranger
Pennsylvania,February,Female,Black,0,1,1990s,Adult,Knife,Municipal,Intimate Partner,-1,0.9818423308535033,1.8157669146496735,1,Relationship Grouped_Unknown,Relationship Grouped_Intimate Partner,Relationship Grouped_Known,Weapon Grouped_Knife,State_Pennsylvania
Florida,July,Male,Black,0,1,2000s,Young Adult,Firearm,Municipal,Unknown,-1,0.3181877815271785,68.18122184728215,0,Relationship Grouped_Unknown,State_Florida,Relationship Grouped_Known,Relationship Grouped_Stranger,Decade_2000s
Pennsylvania,November,Male,Black,0,0,2000s,Young Adult,Firearm,Municipal,Unknown,4,0.2700340956003261,72.99659043996739,0,Relationship Grouped_Unknown,Relationship Grouped_Known,State_Pennsylvania,Relationship Grouped_Stranger,Decade_2000s
Texas,August,Male,White,0,0,1980s,Senior,Blunt Object,Municipal,Unknown,2,0.16623918672728877,83.37608132727112,0,Relationship Grouped_Unknown,Relationship Grouped_Known,Relationship Grouped_Stranger,Relationship Grouped_Intimate Partner,Decade_2000s
California,March,Male,Unknown,0,0,2010s,Senior,Other,Municipal,Unknown,0,0.17777733791235595,82.22226620876441,0,Relationship Grouped_Unknown,Relationship Grouped_Known,Decade_2010s,State_California,Relationship Grouped_Stranger
Texas,September,Male,White,0,1,2000s,Young Adult,Knife,Municipal,Known,-1,0.9901386225759067,0.9861377424093342,1,Relationship Grouped_Unknown,Relationship Grouped_Known,Weapon Grouped_Knife,Decade_2000s,State_Texas
California,September,Male,White,0,0,2000s,Child,Firearm,Municipal,Unknown,0,0.4779368767594364,52.206312324056356,0,Victim Age Group_Child,Relationship Grouped_Unknown,Relationship Grouped_Known,Weapon Grouped_Firearm,State_California
Michigan,July,Male,White,0,1,2010s,Adult,Firearm,Municipal,Stranger,-1,0.90041670173474,9.958329826526008,1,Relationship Grouped_Unknown,Relationship Grouped_Stranger,Decade_2010s,Relationship Grouped_Known,State_California
Florida,August,Male,White,0,0,2000s,Adult,Firearm,County,Unknown,1,0.3428292814020476,65.71707185979524,0,Relationship Grouped_Unknown,State_Florida,Relationship Grouped_Known,Decade_2000s,Relationship Grouped_Stranger
Texas,December,Male,Black,0,1,1990s,Young Adult,Firearm,Municipal,Known,-1,0.97306710356404,2.693289643595992,1,Relationship Grouped_Unknown,Relationship Grouped_Known,State_Texas,Relationship Grouped_Intimate Partner,State_California
California,April,Male,White,0,1,2000s,Adult,Firearm,Municipal,Stranger,-1,0.8455104400416678,15.448955995833218,1,Relationship Grouped_Unknown,Decade_2000s,Relationship Grouped_Stranger,State_California,Relationship Grouped_Known
Michigan,September,Female,White,1,0,1990s,Adult,Firearm,Sheriff,Unknown,0,0.23621506709707074,76.37849329029292,0,Relationship Grouped_Unknown,Relationship Grouped_Known,Relationship Grouped_Intimate Partner,Agency Grouped_Sheriff,Victim Count
Texas,September,Male,White,0,0,2000s,Senior,Firearm,Municipal,Unknown,2,0.20260293429787735,79.73970657021226,0,Relationship Grouped_Unknown,Relationship Grouped_Known,Relationship Grouped_Stranger,Relationship Grouped_Intimate Partner,Decade_2000s
California,June,Female,White,0,1,1990s,Adult,Firearm,Sheriff,Intimate Partner,-1,0.9460085935591145,5.399140644088549,1,Relationship Grouped_Unknown,Relationship Grouped_Intimate Partner,State_California,Relationship Grouped_Known,Relationship Grouped_Stranger
California,December,Female,Black,2,0,2000s,Young Adult,Firearm,Municipal,Unknown,1,0.17310429980458375,82.68957001954162,0,Relationship Grouped_Unknown,Relationship Grouped_Known,Victim Count,State_California,Relationship Grouped_Intimate Partner
Texas,September,Male,Black,0,1,1990s,Young Adult,Firearm,Municipal,Unknown,-1,0.18923027239008094,81.07697276099191,0,Relationship Grouped_Unknown,Relationship Grouped_Known,Relationship Grouped_Stranger,Relationship Grouped_Intimate Partner,State_Texas
California,February,Male,White,0,1,1990s,Young Adult,Firearm,Sheriff,Known,-1,0.9159924117286157,8.400758827138432,1,Relationship Grouped_Unknown,Relationship Grouped_Known,State_California,Agency Grouped_Sheriff,Relationship Grouped_Intimate Partner
Illinois,January,Female,Black,0,1,1980s,Young Adult,Knife,Municipal,Known,-1,0.9523106414282245,4.768935857177549,1,Relationship Grouped_Unknown,Relationship Grouped_Known,Weapon Grouped_Knife,State_Illinois,Relationship Grouped_Intimate Partner
Illinois,July,Male,White,0,0,2000s,Young Adult,Blunt Object,Municipal,Unknown,0,0.2038470569559172,79.61529430440828,0,Relationship Grouped_Unknown,Relationship Grouped_Known,Relationship Grouped_Stranger,Relationship Grouped_Intimate Partner,Decade_2000s
Texas,August,Male,White,1,0,2000s,Adult,Firearm,Municipal,Unknown,2,0.23490745954680448,76.50925404531955,0,Relationship Grouped_Unknown,Relationship Grouped_Known,Relationship Grouped_Stranger,Victim Count,Relationship Grouped_Intimate Partner
Texas,March,Male,Black,0,1,1980s,Young Adult,Firearm,Municipal,Known,-1,0.9632808188877315,3.6719181112268453,1,Relationship Grouped_Unknown,Relationship Grouped_Known,State_Texas,Relationship Grouped_Intimate Partner,State_New York
Colorado,August,Male,White,0,1,2000s,Adult,Firearm,Municipal,Family,-1,0.83612254295307,16.387745704693,1,Relationship Grouped_Unknown,Relationship Grouped_Known,Decade_2000s,Relationship Grouped_Intimate Partner,Victim Race_White
California,August,Male,Black,0,0,2000s,Senior,Blunt Object,Municipal,Unknown,1,0.1715998250405404,82.84001749594596,0,Relationship Grouped_Unknown,Relationship Grouped_Known,State_California,Relationship Grouped_Stranger,Relationship Grouped_Intimate Partner
California,March,Female,White,0,1,1990s,Young Adult,Firearm,Sheriff,Known,-1,0.9154267207145029,8.45732792854971,1,Relationship Grouped_Unknown,Relationship Grouped_Known,State_California,Agency Grouped_Sheriff,Relationship Grouped_Intimate Partner
New Hampshire,April,Female,White,0,1,2000s,Adult,Firearm,Municipal,Intimate Partner,-1,0.9805737521426247,1.9426247857375345,1,Relationship Grouped_Unknown,Relationship Grouped_Intimate Partner,Relationship Grouped_Known,Victim Sex_Male,Decade_2000s
Illinois,January,Male,Black,0,0,1990s,Young Adult,Firearm,Municipal,Unknown,0,0.15995917422655226,84.00408257734478,0,Relationship Grouped_Unknown,Relationship Grouped_Known,Relationship Grouped_Stranger,Relationship Grouped_Intimate Partner,Victim Race_White
California,November,Male,White,0,0,2010s,Adult,Knife,Municipal,Unknown,0,0.26202059575913084,73.79794042408692,0,Relationship Grouped_Unknown,Relationship Grouped_Known,Decade_2010s,Weapon Grouped_Knife,State_California
Texas,March,Male,Asian/Pacific Islander,0,1,2000s,Adult,Firearm,Sheriff,Stranger,-1,0.9528580248733012,4.714197512669881,1,Relationship Grouped_Unknown,Relationship Grouped_Stranger,Decade_2000s,Relationship Grouped_Known,State_Texas
South Carolina,July,Female,White,0,1,1990s,Adult,Blunt Object,Municipal,Stranger,-1,0.9156466016034522,8.435339839654773,1,Relationship Grouped_Unknown,State_South Carolina,Relationship Grouped_Stranger,Relationship Grouped_Known,State_California
New York,October,Male,Black,0,1,1980s,Young Adult,Firearm,Municipal,Unknown,-1,0.17021985457893496,82.97801454210651,0,Relationship Grouped_Unknown,Relationship Grouped_Known,State_New York,Relationship Grouped_Intimate Partner,Relationship Grouped_Stranger
Florida,February,Male,Black,0,1,1990s,Young Adult,Firearm,Municipal,Stranger,-1,0.8443986960798818,15.560130392011814,1,Relationship Grouped_Unknown,Relationship Grouped_Stranger,State_Florida,Relationship Grouped_Known,State_California
Texas,September,Male,White,0,1,1980s,Young Adult,Knife,Municipal,Unknown,-1,0.20815552485127342,79.18444751487266,0,Relationship Grouped_Unknown,Relationship Grouped_Known,Weapon Grouped_Knife,Relationship Grouped_Stranger,Relationship Grouped_Intimate Partner
Texas,March,Male,Black,0,1,1990s,Adult,Firearm,Municipal,Family,-1,0.8352339561241778,16.476604387582217,1,Relationship Grouped_Unknown,Relationship Grouped_Known,State_Texas,Relationship Grouped_Intimate Partner,Relationship Grouped_Stranger
New Jersey,January,Male,Black,0,0,2000s,Teen,Firearm,Municipal,Unknown,1,0.2066341611185255,79.33658388814744,0,Relationship Grouped_Unknown,Relationship Grouped_Known,Victim Age Group_Teen,Relationship Grouped_Stranger,Relationship Grouped_Intimate Partner
Nevada,December,Male,White,0,1,1990s,Young Adult,Firearm,County,Stranger,-1,0.8687181429230354,13.128185707696458,1,Relationship Grouped_Unknown,Relationship Grouped_Stranger,Relationship Grouped_Known,State_California,Decade_1990s
New York,June,Male,Black,2,0,2000s,Adult,Firearm,Municipal,Unknown,1,0.2169006130217952,78.30993869782048,0,Relationship Grouped_Unknown,Relationship Grouped_Known,Victim Count,State_New York,Relationship Grouped_Stranger
Connecticut,January,Male,Black,0,1,1990s,Young Adult,Firearm,Municipal,Known,-1,0.9419037025626854,5.809629743731455,1,Relationship Grouped_Unknown,Relationship Grouped_Known,Relationship Grouped_Intimate Partner,Decade_1990s,State_California
Louisiana,August,Male,Black,0,1,1980s,Adult,Firearm,Sheriff,Known,-1,0.9451130264268206,5.4886973573179345,1,Relationship Grouped_Unknown,Relationship Grouped_Known,Agency Grouped_Sheriff,Agency Grouped_Municipal,Relationship Grouped_Intimate Partner
Texas,June,Female,White,1,1,2000s,Senior,Firearm,Municipal,Family,-1,0.9008735962457637,9.912640375423633,1,Relationship Grouped_Unknown,Relationship Grouped_Known,Victim Sex_Male,Victim Count,Decade_2000s
Texas,May,Male,Native American/Alaska Native,0,1,1990s,Young Adult,Knife,Municipal,Stranger,-1,0.9016559690980956,9.834403090190431,1,Relationship Grouped_Unknown,Relationship Grouped_Stranger,State_Texas,Relationship Grouped_Known,State_California
Florida,July,Male,White,0,0,1990s,Teen,Unknown,Municipal,Unknown,0,0.28590562695501875,71.40943730449813,0,Relationship Grouped_Unknown,State_Florida,Weapon Grouped_Unknown,Relationship Grouped_Known,Victim Age Group_Teen
California,November,Male,Black,0,0,2000s,Young Adult,Firearm,Municipal,Unknown,1,0.16065686189966266,83.93431381003373,0,Relationship Grouped_Unknown,Relationship Grouped_Known,State_California,Relationship Grouped_Stranger,Relationship Grouped_Intimate Partner
Maryland,April,Male,Black,0,1,1990s,Adult,Knife,County,Known,-1,0.9634239836644701,3.657601633552992,1,Relationship Grouped_Unknown,Relationship Grouped_Known,Weapon Grouped_Knife,Relationship Grouped_Intimate Partner,State_California
Michigan,June,Male,White,0,1,2000s,Adult,Knife,Sheriff,Family,-1,0.8598248513933044,14.017514860669552,1,Relationship Grouped_Unknown,Relationship Grouped_Known,Weapon Grouped_Knife,Decade_2000s,Agency Grouped_Sheriff
Florida,September,Male,White,0,1,2000s,Adult,Firearm,Municipal,Family,-1,0.8550358659616504,14.496413403834959,1,Relationship Grouped_Unknown,State_Florida,Relationship Grouped_Known,Decade_2000s,Relationship Grouped_Intimate Partner
Texas,October,Female,White,0,1,1980s,Adult,Firearm,Municipal,Family,-1,0.8607398501254692,13.926014987453081,1,Relationship Grouped_Unknown,Relationship Grouped_Known,Relationship Grouped_Intimate Partner,Victim Sex_Male,State_Texas
Vermont,November,Male,White,0,1,1980s,Adult,Firearm,State,Intimate Partner,-1,0.9477020767380122,5.229792326198778,1,Relationship Grouped_Unknown,Relationship Grouped_Intimate Partner,Relationship Grouped_Known,Agency Grouped_State,Victim Race_White
New Jersey,January,Female,Black,0,1,1990s,Young Adult,Blunt Object,Municipal,Family,-1,0.8309590351849976,16.904096481500236,1,Relationship Grouped_Unknown,Relationship Grouped_Known,Relationship Grouped_Intimate Partner,Victim Sex_Male,Victim Race_White
New York,January,Male,White,0,1,1990s,Adult,Firearm,Municipal,Intimate Partner,-1,0.9394400085181662,6.0559991481833775,1,Relationship Grouped_Unknown,Relationship Grouped_Intimate Partner,State_New York,Relationship Grouped_Known,Decade_1990s
California,January,Male,Black,0,1,2000s,Adult,Firearm,Sheriff,Unknown,-1,0.1553722081567439,84.46277918432561,0,Relationship Grouped_Unknown,Relationship Grouped_Known,State_California,Relationship Grouped_Stranger,Agency Grouped_Sheriff
California,July,Male,Black,0,1,1980s,Adult,Blunt Object,Municipal,Family,-1,0.7406581580188085,25.93418419811914,1,Relationship Grouped_Unknown,Relationship Grouped_Known,State_California,Relationship Grouped_Stranger,Relationship Grouped_Intimate Partner
Florida,September,Male,Black,0,0,1990s,Adult,Knife,Municipal,Unknown,3,0.3784684242965398,62.15315757034602,0,Relationship Grouped_Unknown,State_Florida,Relationship Grouped_Known,Weapon Grouped_Knife,Relationship Grouped_Intimate Partner
Indiana,April,Male,Black,0,1,1990s,Adult,Firearm,Municipal,Unknown,-1,0.16613167453845545,83.38683254615445,0,Relationship Grouped_Unknown,Relationship Grouped_Known,Relationship Grouped_Stranger,Relationship Grouped_Intimate Partner,Victim Race_White
Alabama,October,Male,Black,0,0,2000s,Young Adult,Firearm,Municipal,Unknown,4,0.19480187769986657,80.51981223001334,0,Relationship Grouped_Unknown,Relationship Grouped_Known,Relationship Grouped_Stranger,Relationship Grouped_Intimate Partner,Decade_2000s
Alabama,June,Male,Black,0,1,1980s,Young Adult,Firearm,Municipal,Known,-1,0.9216103028748867,7.838969712511331,1,Relationship Grouped_Unknown,Relationship Grouped_Known,Relationship Grouped_Intimate Partner,State_New York,State_California
California,August,Male,White,0,1,1980s,Child,Blunt Object,Sheriff,Stranger,-1,0.7105006681752782,28.949933182472176,1,Relationship Grouped_Unknown,Victim Age Group_Child,State_California,Relationship Grouped_Known,Decade_2000s
Ohio,February,Male,White,0,0,1980s,Adult,Firearm,Municipal,Unknown,2,0.18741844080336023,81.25815591966398,0,Relationship Grouped_Unknown,Relationship Grouped_Known,Relationship Grouped_Stranger,Relationship Grouped_Intimate Partner,Victim Race_White
Georgia,March,Female,Black,0,1,1990s,Adult,Knife,Municipal,Stranger,-1,0.8369642334674046,16.30357665325954,1,Relationship Grouped_Unknown,Relationship Grouped_Stranger,Relationship Grouped_Known,Decade_1990s,State_California
Michigan,December,Male,Black,0,0,2000s,Young Adult,Firearm,Municipal,Unknown,4,0.1964043360980311,80.35956639019689,0,Relationship Grouped_Unknown,Relationship Grouped_Known,Relationship Grouped_Stranger,Relationship Grouped_Intimate Partner,Decade_2000s
Mississippi,March,Female,White,0,1,1980s,Adult,Firearm,Municipal,Stranger,-1,0.7803914663698857,21.960853363011438,1,Relationship Grouped_Unknown,Relationship Grouped_Stranger,Relationship Grouped_Known,State_California,State_Mississippi
Wisconsin,July,Male,Black,0,1,1990s,Teen,Firearm,Municipal,Known,-1,0.961136515545634,3.8863484454366013,1,Relationship Grouped_Unknown,Relationship Grouped_Known,State_Wisconsin,Victim Age Group_Teen,Relationship Grouped_Intimate Partner
Michigan,March,Male,Black,0,1,1990s,Young Adult,Firearm,Municipal,Stranger,-1,0.8234305437883416,17.656945621165843,1,Relationship Grouped_Unknown,Relationship Grouped_Stranger,Relationship Grouped_Known,State_California,Decade_1990s
California,October,Male,White,0,1,2000s,Young Adult,Knife,Sheriff,Known,-1,0.9724931473336887,2.7506852666311246,1,Relationship Grouped_Unknown,Relationship Grouped_Known,Decade_2000s,State_California,Weapon Grouped_Knife
Arkansas,February,Male,Black,0,0,2010s,Young Adult,Firearm,Municipal,Unknown,4,0.27666797261860165,72.33320273813983,0,Relationship Grouped_Unknown,Relationship Grouped_Known,State_Arkansas,Decade_2010s,Relationship Grouped_Stranger
Illinois,May,Male,White,0,1,1990s,Young Adult,Firearm,Municipal,Stranger,-1,0.8877508240786403,11.224917592135979,1,Relationship Grouped_Unknown,Relationship Grouped_Stranger,Relationship Grouped_Known,State_California,State_Illinois
Arkansas,December,Female,Black,0,1,1990s,Young Adult,Firearm,Municipal,Intimate Partner,-1,0.9668913550398516,3.310864496014839,1,Relationship Grouped_Unknown,Relationship Grouped_Intimate Partner,Relationship Grouped_Known,Victim Sex_Male,State_Arkansas
North Carolina,January,Male,White,0,1,2000s,Adult,Firearm,Sheriff,Known,-1,0.9700035458891956,2.9996454110804445,1,Relationship Grouped_Unknown,Relationship Grouped_Known,Agency Grouped_Sheriff,Decade_2000s,State_North Carolina
Florida,July,Male,White,0,1,1980s,Adult,Firearm,Sheriff,Known,-1,0.9437423777953042,5.62576222046958,1,Relationship Grouped_Unknown,Relationship Grouped_Known,Agency Grouped_Sheriff,State_Florida,State_California
New Mexico,March,Male,White,0,1,2000s,Young Adult,Firearm,Municipal,Known,-1,0.9469202939162539,5.307970608374617,1,Relationship Grouped_Unknown,Relationship Grouped_Known,Decade_2000s,Relationship Grouped_Intimate Partner,Victim Race_White
Mississippi,July,Female,White,0,1,1990s,Adult,Knife,Municipal,Unknown,-1,0.2130806585409475,78.69193414590525,0,Relationship Grouped_Unknown,Relationship Grouped_Known,Weapon Grouped_Knife,State_Mississippi,Relationship Grouped_Intimate Partner
Florida,April,Male,White,0,1,2010s,Young Adult,Firearm,Sheriff,Unknown,-1,0.5094436212738886,49.05563787261113,1,Relationship Grouped_Unknown,State_Florida,Decade_2010s,Relationship Grouped_Known,Agency Grouped_Sheriff
California,October,Male,Native American/Alaska Native,0,0,1980s,Adult,Blunt Object,Sheriff,Stranger,1,0.653923954956256,34.6076045043744,1,Relationship Grouped_Unknown,State_California,Relationship Grouped_Stranger,Relationship Grouped_Known,Victim Race_Native American/Alaska Native
Connecticut,May,Male,White,0,0,1980s,Young Adult,Firearm,Municipal,Stranger,0,0.7936156558699345,20.638434413006546,1,Relationship Grouped_Unknown,Relationship Grouped_Stranger,Relationship Grouped_Known,State_California,Decade_2000s
California,February,Female,White,0,0,1990s,Senior,Unknown,Municipal,Unknown,0,0.15753443995862004,84.246556004138,0,Relationship Grouped_Unknown,Relationship Grouped_Known,Relationship Grouped_Intimate Partner,Weapon Grouped_Unknown,Relationship Grouped_Stranger
Texas,September,Male,White,0,1,1980s,Adult,Knife,Municipal,Known,-1,0.9697223746386284,3.027762536137158,1,Relationship Grouped_Unknown,Relationship Grouped_Known,State_Texas,Weapon Grouped_Knife,Relationship Grouped_Intimate Partner
Maryland,November,Male,Black,0,1,2010s,Young Adult,Firearm,County,Stranger,-1,0.7623553648556395,23.76446351443605,1,Relationship Grouped_Unknown,Relationship Grouped_Stranger,Relationship Grouped_Known,Decade_2010s,State_Maryland
New York,May,Male,Black,0,0,1980s,Adult,Firearm,Municipal,Stranger,3,0.5451163727681341,45.4883627231866,1,Relationship Grouped_Unknown,State_New York,Relationship Grouped_Stranger,Relationship Grouped_Known,Decade_2000s
North Carolina,May,Male,Black,0,1,2000s,Adult,Firearm,Municipal,Known,-1,0.9495309812548693,5.0469018745130665,1,Relationship Grouped_Unknown,Relationship Grouped_Known,Decade_2000s,State_North Carolina,Relationship Grouped_Intimate Partner
Illinois,October,Male,White,0,0,2000s,Young Adult,Firearm,Municipal,Unknown,0,0.19113893037127938,80.88610696287206,0,Relationship Grouped_Unknown,Relationship Grouped_Known,Relationship Grouped_Stranger,Relationship Grouped_Intimate Partner,Decade_2000s
Maryland,July,Male,Black,0,1,2000s,Young Adult,Firearm,Municipal,Unknown,-1,0.18525549398048002,81.474450601952,0,Relationship Grouped_Unknown,Relationship Grouped_Known,Relationship Grouped_Stranger,Relationship Grouped_Intimate Partner,Decade_2000s
Florida,April,Female,White,0,1,1990s,Young Adult,Firearm,Municipal,Unknown,-1,0.32314538779980595,67.6854612200194,0,Relationship Grouped_Unknown,State_Florida,Relationship Grouped_Known,Relationship Grouped_Intimate Partner,Relationship Grouped_Stranger
California,August,Male,Black,0,1,2000s,Adult,Firearm,Municipal,Stranger,-1,0.8392275562605728,16.07724437394272,1,Relationship Grouped_Unknown,Relationship Grouped_Stranger,Decade_2000s,State_California,Relationship Grouped_Known
Ohio,September,Male,White,0,0,1990s,Adult,Firearm,Municipal,Unknown,0,0.18944505284583213,81.05549471541678,0,Relationship Grouped_Unknown,Relationship Grouped_Known,Relationship Grouped_Stranger,Relationship Grouped_Intimate Partner,Victim Race_White
District of Columbia,April,Male,Black,0,0,2010s,Young Adult,Firearm,Municipal,Unknown,4,0.11595730069643873,88.40426993035612,0,Relationship Grouped_Unknown,State_District of Columbia,Relationship Grouped_Known,Relationship Grouped_Stranger,Decade_2010s
Indiana,December,Female,White,0,0,1980s,Young Adult,Firearm,Municipal,Stranger,0,0.7548924232511478,24.510757674885216,1,Relationship Grouped_Unknown,Relationship Grouped_Stranger,Relationship Grouped_Known,State_California,Decade_2000s
Michigan,September,Male,Black,0,0,1990s,Young Adult,Firearm,Municipal,Unknown,0,0.17830099059976368,82.16990094002364,0,Relationship Grouped_Unknown,Relationship Grouped_Known,Relationship Grouped_Stranger,Relationship Grouped_Intimate Partner,Victim Race_White
California,April,Male,Black,0,1,1990s,Teen,Firearm,Municipal,Stranger,-1,0.6600850077545667,33.99149922454333,1,Relationship Grouped_Unknown,State_California,Relationship Grouped_Stranger,Relationship Grouped_Known,Victim Age Group_Teen
Washington,August,Male,White,0,1,1990s,Adult,Knife,Sheriff,Known,-1,0.9635158217641769,3.6484178235823013,1,Relationship Grouped_Unknown,Relationship Grouped_Known,Agency Grouped_Sheriff,Weapon Grouped_Knife,Relationship Grouped_Intimate Partner
